INFO:root:
Started
INFO:root:Batch 330, Batch Loss 0.130522

INFO:root:Batch 331, Batch Loss 0.591402

INFO:root:Batch 332, Batch Loss 0.398764

INFO:root:Batch 333, Batch Loss 2.314571

INFO:root:Batch 334, Batch Loss 0.160962

INFO:root:Batch 335, Batch Loss 0.068082

INFO:root:Batch 336, Batch Loss 2.823719

INFO:root:Batch 337, Batch Loss 0.087941

INFO:root:Batch 338, Batch Loss 0.389974

INFO:root:Batch 339, Batch Loss 0.303783

INFO:root:Batch 340, Batch Loss 0.471501

INFO:root:Batch 341, Batch Loss 0.780851

INFO:root:Batch 342, Batch Loss 0.962189

INFO:root:Batch 343, Batch Loss 0.099928

INFO:root:Batch 344, Batch Loss 0.500407

INFO:root:Batch 345, Batch Loss 0.125646

INFO:root:Batch 346, Batch Loss 0.975594

INFO:root:Batch 347, Batch Loss 1.481744

INFO:root:Batch 348, Batch Loss 0.279386

INFO:root:Batch 349, Batch Loss 0.878715

INFO:root:Batch 350, Batch Loss 0.492229

INFO:root:Batch 351, Batch Loss 0.038357

INFO:root:Batch 352, Batch Loss 1.678190

INFO:root:Batch 353, Batch Loss 1.481597

INFO:root:Batch 354, Batch Loss 0.726443

INFO:root:Batch 355, Batch Loss 0.489971

INFO:root:Batch 356, Batch Loss 0.000000

INFO:root:Batch 357, Batch Loss 0.522192

INFO:root:Batch 358, Batch Loss 0.699446

INFO:root:Batch 359, Batch Loss 0.777386

INFO:root:Batch 360, Batch Loss 0.971833

INFO:root:Batch 361, Batch Loss 0.435425

INFO:root:Batch 362, Batch Loss 1.493309

INFO:root:Batch 363, Batch Loss 0.353340

INFO:root:Batch 364, Batch Loss 0.000000

INFO:root:Batch 365, Batch Loss 0.063021

INFO:root:Batch 366, Batch Loss 0.442609

INFO:root:Batch 367, Batch Loss 1.760258

INFO:root:Batch 368, Batch Loss 0.465828

INFO:root:Batch 369, Batch Loss 0.157684

INFO:root:Batch 370, Batch Loss 0.945809

INFO:root:Batch 371, Batch Loss 1.339414

INFO:root:Batch 372, Batch Loss 0.076633

INFO:root:Batch 373, Batch Loss 0.364223

INFO:root:Batch 374, Batch Loss 0.080971

INFO:root:Batch 375, Batch Loss 0.717907

INFO:root:Batch 376, Batch Loss 0.000000

INFO:root:Batch 377, Batch Loss 0.105655

INFO:root:Batch 378, Batch Loss 1.321984

INFO:root:Batch 379, Batch Loss 0.161411

INFO:root:Batch 380, Batch Loss 0.057746

INFO:root:Batch 381, Batch Loss 0.166956

INFO:root:Batch 382, Batch Loss 0.037331

INFO:root:Batch 383, Batch Loss 1.057394

INFO:root:Batch 384, Batch Loss 0.834923

INFO:root:Batch 385, Batch Loss 0.971455

INFO:root:Batch 386, Batch Loss 0.096542

INFO:root:Batch 387, Batch Loss 0.022144

INFO:root:Batch 388, Batch Loss 1.035397

INFO:root:Batch 389, Batch Loss 0.246165

INFO:root:Batch 390, Batch Loss 0.277585

INFO:root:Batch 391, Batch Loss 0.116039

INFO:root:Batch 392, Batch Loss 0.485866

INFO:root:Batch 393, Batch Loss 0.886730

INFO:root:Batch 394, Batch Loss 2.380557

INFO:root:Batch 395, Batch Loss 0.671938

INFO:root:Batch 396, Batch Loss 0.573235

INFO:root:Batch 397, Batch Loss 0.060684

INFO:root:Batch 398, Batch Loss 0.234849

INFO:root:Batch 399, Batch Loss 0.162780

INFO:root:Batch 400, Batch Loss 0.592048

INFO:root:Batch 401, Batch Loss 0.224418

INFO:root:Batch 402, Batch Loss 0.860897

INFO:root:Batch 403, Batch Loss 0.252380

INFO:root:Batch 404, Batch Loss 0.041041

INFO:root:Batch 405, Batch Loss 0.289403

INFO:root:Batch 406, Batch Loss 0.060792

INFO:root:Batch 407, Batch Loss 0.820172

INFO:root:Batch 408, Batch Loss 0.089772

INFO:root:Batch 409, Batch Loss 0.178728

INFO:root:Batch 410, Batch Loss 0.063507

INFO:root:Batch 411, Batch Loss 0.161677

INFO:root:Batch 412, Batch Loss 0.050881

INFO:root:Batch 413, Batch Loss 0.320691

INFO:root:Batch 414, Batch Loss 1.165182

INFO:root:Batch 415, Batch Loss 3.541097

INFO:root:Batch 416, Batch Loss 0.888333

INFO:root:Batch 417, Batch Loss 0.509488

INFO:root:Batch 418, Batch Loss 1.544125

